Pokémon,Frecuencia Absoluta,Frecuencia Acumulada,Frecuencia Relativa,Frecuencia Relativa Acumulada,Frecuencia Relativa (%),Frecuencia Relativa Acumulada (%)
Incineroar,142,142,0.09102564102564102,0.09102564102564102,9.1,9.1
Gholdengo,113,255,0.07243589743589744,0.16346153846153846,7.24,16.35
Sneasler,105,360,0.0673076923076923,0.23076923076923078,6.73,23.08
Dragonite,104,464,0.06666666666666667,0.29743589743589743,6.67,29.74
Ursaluna-Bloodmoon,78,542,0.05,0.3474358974358974,5.0,34.74
Archaludon,76,618,0.04871794871794872,0.39615384615384613,4.87,39.62
Amoonguss,73,691,0.046794871794871795,0.44294871794871793,4.68,44.29
Rillaboom,65,756,0.041666666666666664,0.4846153846153846,4.17,48.46
Annihilape,59,815,0.03782051282051282,0.5224358974358975,3.78,52.24
Pelipper,54,869,0.03461538461538462,0.5570512820512821,3.46,55.71
