Pokémon,Frecuencia Absoluta,Frecuencia Acumulada,Frecuencia Relativa,Frecuencia Relativa Acumulada,Frecuencia Relativa (%),Frecuencia Relativa Acumulada (%)
Incineroar,338,338,0.1518418688230009,0.1518418688230009,15.18,15.18
Sneasler,288,626,0.1293800539083558,0.2812219227313567,12.94,28.12
Gholdengo,275,901,0.12353998203054807,0.40476190476190477,12.35,40.48
Dragonite,248,1149,0.11141060197663971,0.5161725067385445,11.14,51.62
Archaludon,219,1368,0.09838274932614555,0.6145552560646901,9.84,61.46
Ursaluna-Bloodmoon,198,1566,0.0889487870619946,0.7035040431266847,8.89,70.35
Amoonguss,177,1743,0.07951482479784366,0.7830188679245284,7.95,78.3
Rillaboom,175,1918,0.07861635220125786,0.8616352201257862,7.86,86.16
Pelipper,166,2084,0.07457322551662174,0.9362084456424079,7.46,93.62
Annihilape,142,2226,0.0637915543575921,1.0,6.38,100.0
