Pokémon,Frecuencia Absoluta,Frecuencia Acumulada,Frecuencia Relativa,Frecuencia Relativa Acumulada,Frecuencia Relativa (%),Frecuencia Relativa Acumulada (%)
Incineroar,338,338,0.07664399092970521,0.07664399092970521,7.66,7.66
Sneasler,288,626,0.0653061224489796,0.1419501133786848,6.53,14.2
Gholdengo,275,901,0.06235827664399093,0.20430839002267573,6.24,20.43
Dragonite,248,1149,0.05623582766439909,0.2605442176870748,5.62,26.05
Archaludon,219,1368,0.04965986394557823,0.31020408163265306,4.97,31.02
Ursaluna-Bloodmoon,198,1566,0.044897959183673466,0.3551020408163265,4.49,35.51
Amoonguss,177,1743,0.04013605442176871,0.3952380952380952,4.01,39.52
Rillaboom,175,1918,0.03968253968253968,0.43492063492063493,3.97,43.49
Pelipper,166,2084,0.03764172335600907,0.472562358276644,3.76,47.26
Annihilape,142,2226,0.03219954648526077,0.5047619047619047,3.22,50.48
