Pokémon,Frecuencia Absoluta,Frecuencia Acumulada,Frecuencia Relativa,Frecuencia Relativa Acumulada,Frecuencia Relativa (%),Frecuencia Relativa Acumulada (%)
Incineroar,142,142,0.5461538461538461,0.5461538461538461,54.62,54.62
Gholdengo,113,255,0.4346153846153846,0.9807692307692307,43.46,98.08
Sneasler,105,360,0.40384615384615385,1.3846153846153846,40.38,138.46
Dragonite,104,464,0.4,1.7846153846153845,40.0,178.46
Ursaluna-Bloodmoon,78,542,0.3,2.0846153846153843,30.0,208.46
Archaludon,76,618,0.2923076923076923,2.3769230769230765,29.23,237.69
Amoonguss,73,691,0.28076923076923077,2.657692307692307,28.08,265.77
Rillaboom,65,756,0.25,2.907692307692307,25.0,290.77
Annihilape,59,815,0.22692307692307692,3.134615384615384,22.69,313.46
Pelipper,54,869,0.2076923076923077,3.342307692307692,20.77,334.23
