Nombre,Mazo
Azul Garcia Griego,Miraidon
Mauricio Patino,Gouging Fire
Leandro Fernandes,Miraidon
Rolando Gabriel Coronado Jimenez,Klawf Terapagos
Aidan Khus,Dragapult Dusknoir
Rafael Yuiti,Miraidon
Michael Davidson,Gardevoir
Caleb Rogerson,Miraidon
Brent Tonisson,Dragapult Dusknoir
Steven Salas Cajina,Dragapult Dusknoir
Arath Gomez,Dragapult Dusknoir
Diego Cassiraga,Dragapult Dusknoir
Caleb Gedemer,Miraidon
Jose Merced,Iron Thorns
Jack Moore,Gardevoir
Calvin Connor,Gardevoir
Eder Jarillo Soto,Lugia Archeops
Andrew Hedrick,Lost Zone Box
Sotero De Jesus De Dios Gonzalez,Dragapult Dusknoir
Gabriel Smart,Gardevoir
Omar Alejandro Suarez Gurrola,Raging Bolt Ogerpon
Pedro Pertusi,Miraidon
Alberto Bonsanto,Lugia Archeops
Jaime Riva,Miraidon
Victor de Velasco,Lugia Archeops
Cesar David Alvarado Martínez,Gardevoir
Eliseo Vazquez,Miraidon
Pablo Meza,Pidgeot Control
Shane McManus,Lugia Archeops
Cameron Scotland,Gardevoir
Michael Ingalls,Lugia Archeops
Enrique Saenz,Gardevoir
David Perez Concha,Gholdengo
Maddox Corcoran,Miraidon
Francisco Hernandez,Dragapult Dusknoir
Adrian Mejia Galvez,Pidgeot Control
Tanner Hurley,Gardevoir
Fabrizio Inga Silva,Miraidon
Luis Guillermo Terreros Rosales,Archaludon
Manuel Alejandro Canul Basto,Ancient Box
Joshua Frink,Gardevoir
Jonathan Eduardo Martinez Aguilar,Gardevoir
Bryan Gabriel Torres Meléndez,Dragapult Dusknoir
Diego Coronado,Archaludon
Raul Merino,Miraidon
Piper Lepine,Gardevoir
Miguel Angel Lopez Bernal,Lugia Archeops
Gilberto Madrid Gutiérrez,Gardevoir
Diego Carrillo,Gardevoir
Francisco Rocha,Lugia Archeops
Angel Daniel,Raging Bolt Ogerpon
Andre Bortoni Miranda,Miraidon
Joshua Sanchez,Lugia Archeops
Fernando Elias Vega,Regidrago
Justin Turner,Gardevoir
Carlos Medina Astete,Snorlax Stall
