Rank,Nombre,Mazo
1,Azul Garcia Griego,Miraidon
2,Mauricio Patino,Gouging Fire
3,Leandro Fernandes,Miraidon
4,Rolando Gabriel Coronado Jimenez,Klawf Terapagos
5,Aidan Khus,Dragapult Dusknoir
6,Rafael Yuiti,Miraidon
7,Michael Davidson,Gardevoir
8,Caleb Rogerson,Miraidon
9,Brent Tonisson,Dragapult Dusknoir
10,Steven Salas Cajina,Dragapult Dusknoir
11,Arath Gomez,Dragapult Dusknoir
12,Diego Cassiraga,Dragapult Dusknoir
13,Caleb Gedemer,Miraidon
14,Jose Merced,Iron Thorns
15,Jack Moore,Gardevoir
16,Calvin Connor,Gardevoir
17,Eder Jarillo Soto,Lugia Archeops
18,Andrew Hedrick,Lost Zone Box
19,Sotero De Jesus De Dios Gonzalez,Dragapult Dusknoir
20,Gabriel Smart,Gardevoir
21,Omar Alejandro Suarez Gurrola,Raging Bolt Ogerpon
22,Pedro Pertusi,Miraidon
23,Alberto Bonsanto,Lugia Archeops
24,Jaime Riva,Miraidon
25,Victor de Velasco,Lugia Archeops
26,Cesar David Alvarado Martínez,Gardevoir
27,Eliseo Vazquez,Miraidon
28,Pablo Meza,Pidgeot Control
29,Shane McManus,Lugia Archeops
30,Cameron Scotland,Gardevoir
31,Michael Ingalls,Lugia Archeops
32,Enrique Saenz,Gardevoir
33,David Perez Concha,Gholdengo
34,Maddox Corcoran,Miraidon
35,Francisco Hernandez,Dragapult Dusknoir
36,Adrian Mejia Galvez,Pidgeot Control
37,Tanner Hurley,Gardevoir
38,Fabrizio Inga Silva,Miraidon
39,Luis Guillermo Terreros Rosales,Archaludon
40,Manuel Alejandro Canul Basto,Ancient Box
41,Joshua Frink,Gardevoir
42,Jonathan Eduardo Martinez Aguilar,Gardevoir
43,Bryan Gabriel Torres Meléndez,Dragapult Dusknoir
44,Diego Coronado,Archaludon
45,Raul Merino,Miraidon
46,Piper Lepine,Gardevoir
47,Miguel Angel Lopez Bernal,Lugia Archeops
48,Gilberto Madrid Gutiérrez,Gardevoir
49,Diego Carrillo,Gardevoir
50,Francisco Rocha,Lugia Archeops
51,Angel Daniel,Raging Bolt Ogerpon
52,Andre Bortoni Miranda,Miraidon
53,Joshua Sanchez,Lugia Archeops
54,Fernando Elias Vega,Regidrago
55,Justin Turner,Gardevoir
56,Carlos Medina Astete,Snorlax Stall
57,Andres Estefano Gajardo Lopehandia,Lugia Archeops
58,Alexis Vazquez,Dragapult Dusknoir
59,Maximus López,Snorlax Stall
60,Jesús Mejia,Lugia Archeops
61,Raul Soberano Alpuche,Raging Bolt Ogerpon
62,Mauricio Santoveña,Ceruledge
63,Ali Uzziel Monroy Rodriguez,Raging Bolt Ogerpon
64,Jose Lagunes Maitret,Dragapult Dusknoir
